bloque;pregunta;tipo_pregunta;llaves;tema;respuestas
Bloque 1: Problemáticas sociales;Aparte de la inseguridad, ¿cuál diría usted que es el problema más importante que enfrenta Chiapas hoy en día?;multiples;problema_masimportante;NA;
Bloque 1: Problemáticas sociales;Otro;abiertas;problema_masimportante_otro;NA;
Bloque 1: Problemáticas sociales;Y hablando específicamente del problema de la inseguridad, ¿cuál considera que es el delito que se comete con mayor frecuencia aquí en su municipio?;multiples;delito_masfrecuente;NA;
Bloque 1: Problemáticas sociales;Otro;abiertas;delito_masfrecuente_otro;NA;
Bloque 2: Evaluación de autoridades;En una escala del 0 al 10, donde 0 significa que lo hace muy mal y 10 muy bien, ¿qué calificación le daría al trabajo de Andrés Manuel López Obrador como presidente de la República;numericas;evaluacion_amlo;NA;
Bloque 2: Evaluación de autoridades;Y con la misma escala del 0 al 10,  ¿qué calificación le daría al trabajo del gobernador del estado Rutilio Escandón Cadenas?;numericas;evaluacion_rutilio;NA;
Bloque 4: Intención de voto hacia la Gubernatura de Chiapas 2024;Si el día de hoy fueran las elecciones para elegir al próximo Gobernador o Gobernadora de Chiapas, ¿por cuál partido votaría?;multiples;voto_partido;NA;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_era;Eduardo Ramírez Aguilar;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_sasil;Sasil de León;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_jaac;José Antonio Aguilar Castillejos, “Jaac”;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_placido;Plácido Morales Vázquez;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_rosa;Rosa Irene Urbina Castañeda;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_pepe;Pepe Cruz;
Bloque 3: Conocimiento de personajes;¿Usted conoce o había escuchado hablar de …?;multiples;conocimiento_manuelita;Manuela Obrador Narváez;
