seccion,g_etario,sexo,n,Localidad,pct,encuestas
209,18 a 24,HOMBRES,606,CINTALAPA,0.10680296087416284,3
209,18 a 24,MUJERES,558,CINTALAPA,0.09834332040888262,3
209,25 a 59,HOMBRES,1767,CINTALAPA,0.3114205146281283,9
209,25 a 59,MUJERES,2066,CINTALAPA,0.3641170250264364,11
209,60 y más,HOMBRES,330,CINTALAPA,0.058160028198801554,2
209,60 y más,MUJERES,347,CINTALAPA,0.0611561508635883,2
213,18 a 24,HOMBRES,170,EJIDO LA CONSTITUCION CHAYOTAL,0.09134873723804406,3
213,18 a 24,HOMBRES,170,EJIDO RAFAEL CAL Y MAYOR,0.09134873723804406,3
213,18 a 24,MUJERES,145,EJIDO LA CONSTITUCION CHAYOTAL,0.07791509940891994,2
213,18 a 24,MUJERES,145,EJIDO RAFAEL CAL Y MAYOR,0.07791509940891994,2
213,25 a 59,HOMBRES,672,EJIDO LA CONSTITUCION CHAYOTAL,0.3610961848468565,11
213,25 a 59,HOMBRES,672,EJIDO RAFAEL CAL Y MAYOR,0.3610961848468565,11
213,25 a 59,MUJERES,610,EJIDO LA CONSTITUCION CHAYOTAL,0.3277807630306287,10
213,25 a 59,MUJERES,610,EJIDO RAFAEL CAL Y MAYOR,0.3277807630306287,10
213,60 y más,HOMBRES,155,EJIDO LA CONSTITUCION CHAYOTAL,0.08328855454056959,2
213,60 y más,HOMBRES,155,EJIDO RAFAEL CAL Y MAYOR,0.08328855454056959,2
213,60 y más,MUJERES,109,EJIDO LA CONSTITUCION CHAYOTAL,0.05857066093498119,2
213,60 y más,MUJERES,109,EJIDO RAFAEL CAL Y MAYOR,0.05857066093498119,2
239,18 a 24,HOMBRES,378,COMITAN DE DOMINGUEZ,0.08657810352725608,3
239,18 a 24,MUJERES,425,COMITAN DE DOMINGUEZ,0.09734310581768209,3
239,25 a 59,HOMBRES,1373,COMITAN DE DOMINGUEZ,0.3144754924415941,9
239,25 a 59,MUJERES,1615,COMITAN DE DOMINGUEZ,0.3699038021071919,11
239,60 y más,HOMBRES,241,COMITAN DE DOMINGUEZ,0.05519926706367384,2
239,60 y más,MUJERES,334,COMITAN DE DOMINGUEZ,0.07650022904260192,2
240,18 a 24,HOMBRES,134,COMITAN DE DOMINGUEZ,0.06939409632314862,2
240,18 a 24,MUJERES,166,COMITAN DE DOMINGUEZ,0.0859658208182289,3
240,25 a 59,HOMBRES,595,COMITAN DE DOMINGUEZ,0.30813050233039874,9
240,25 a 59,MUJERES,697,COMITAN DE DOMINGUEZ,0.3609528741584671,11
240,60 y más,HOMBRES,147,COMITAN DE DOMINGUEZ,0.07612635939927499,2
240,60 y más,MUJERES,192,COMITAN DE DOMINGUEZ,0.09943034697048161,3
257,18 a 24,HOMBRES,165,COMITAN DE DOMINGUEZ,0.07731958762886598,2
257,18 a 24,MUJERES,151,COMITAN DE DOMINGUEZ,0.07075913776944705,2
257,25 a 59,HOMBRES,609,COMITAN DE DOMINGUEZ,0.28537956888472354,9
257,25 a 59,MUJERES,785,COMITAN DE DOMINGUEZ,0.36785379568884724,11
257,60 y más,HOMBRES,192,COMITAN DE DOMINGUEZ,0.08997188378631678,3
257,60 y más,MUJERES,232,COMITAN DE DOMINGUEZ,0.10871602624179943,3
284,18 a 24,HOMBRES,131,CASH,0.07811568276684555,2
284,18 a 24,MUJERES,156,CASH,0.09302325581395349,3
284,25 a 59,HOMBRES,516,CASH,0.3076923076923077,9
284,25 a 59,MUJERES,598,CASH,0.35658914728682173,11
284,60 y más,HOMBRES,135,CASH,0.08050089445438283,2
284,60 y más,MUJERES,141,CASH,0.08407871198568873,3
