"seccion","g_etario","sexo","n","pct","enc.3","encuestas"
7,"18 a 24","HOMBRES",223,0.09218685407193054,30,3
7,"18 a 24","MUJERES",196,0.08102521703183134,30,2
7,"25 a 59","HOMBRES",808,0.3340223232740802,30,10
7,"25 a 59","MUJERES",853,0.35262505167424557,30,11
7,"60 y más","HOMBRES",171,0.07069036792062836,30,2
7,"60 y más","MUJERES",168,0.069450186027284,30,2
9,"18 a 24","HOMBRES",282,0.10553892215568862,30,3
9,"18 a 24","MUJERES",241,0.09019461077844312,30,3
9,"25 a 59","HOMBRES",893,0.3342065868263473,30,10
9,"25 a 59","MUJERES",930,0.34805389221556887,30,10
9,"60 y más","HOMBRES",169,0.06324850299401198,30,2
9,"60 y más","MUJERES",157,0.05875748502994012,30,2
10,"18 a 24","HOMBRES",96,0.0618158403090792,30,2
10,"18 a 24","MUJERES",99,0.06374758531873792,30,2
10,"25 a 59","HOMBRES",510,0.3283966516419833,30,10
10,"25 a 59","MUJERES",514,0.3309723116548616,30,10
10,"60 y más","HOMBRES",167,0.10753380553766904,30,3
10,"60 y más","MUJERES",167,0.10753380553766904,30,3
11,"18 a 24","HOMBRES",142,0.09311475409836066,30,3
11,"18 a 24","MUJERES",116,0.0760655737704918,30,2
11,"25 a 59","HOMBRES",499,0.32721311475409837,30,10
11,"25 a 59","MUJERES",513,0.33639344262295084,30,10
11,"60 y más","HOMBRES",121,0.07934426229508197,30,2
11,"60 y más","MUJERES",134,0.08786885245901639,30,3
12,"18 a 24","HOMBRES",92,0.08582089552238806,30,3
12,"18 a 24","MUJERES",73,0.06809701492537314,30,2
12,"25 a 59","HOMBRES",335,0.3125,30,9
12,"25 a 59","MUJERES",361,0.33675373134328357,30,10
12,"60 y más","HOMBRES",113,0.10541044776119404,30,3
12,"60 y más","MUJERES",98,0.0914179104477612,30,3
13,"18 a 24","HOMBRES",82,0.07884615384615384,30,2
13,"18 a 24","MUJERES",67,0.06442307692307692,30,2
13,"25 a 59","HOMBRES",341,0.3278846153846154,30,10
13,"25 a 59","MUJERES",352,0.3384615384615385,30,10
13,"60 y más","HOMBRES",98,0.09423076923076924,30,3
13,"60 y más","MUJERES",100,0.09615384615384616,30,3
198,"18 a 24","HOMBRES",77,0.07025547445255474,32,2
198,"18 a 24","MUJERES",100,0.09124087591240876,32,3
198,"25 a 59","HOMBRES",335,0.3056569343065693,32,10
198,"25 a 59","MUJERES",375,0.34215328467153283,32,11
198,"60 y más","HOMBRES",91,0.08302919708029197,32,3
198,"60 y más","MUJERES",118,0.10766423357664232,32,3
199,"18 a 24","HOMBRES",285,0.09787087912087912,32,3
199,"18 a 24","MUJERES",236,0.08104395604395605,32,3
199,"25 a 59","HOMBRES",913,0.3135302197802198,32,10
199,"25 a 59","MUJERES",1035,0.3554258241758242,32,11
199,"60 y más","HOMBRES",211,0.07245879120879122,32,2
199,"60 y más","MUJERES",232,0.07967032967032966,32,3
203,"18 a 24","HOMBRES",170,0.09444444444444444,32,3
203,"18 a 24","MUJERES",155,0.08611111111111111,32,3
203,"25 a 59","HOMBRES",539,0.29944444444444446,32,10
203,"25 a 59","MUJERES",639,0.355,32,11
203,"60 y más","HOMBRES",137,0.07611111111111112,32,2
203,"60 y más","MUJERES",160,0.08888888888888889,32,3
204,"18 a 24","HOMBRES",80,0.072992700729927,32,2
204,"18 a 24","MUJERES",65,0.05930656934306569,32,2
204,"25 a 59","HOMBRES",351,0.32025547445255476,32,10
204,"25 a 59","MUJERES",338,0.3083941605839416,32,10
204,"60 y más","HOMBRES",100,0.09124087591240876,32,3
204,"60 y más","MUJERES",162,0.1478102189781022,32,5
208,"18 a 24","HOMBRES",274,0.09768270944741532,32,3
208,"18 a 24","MUJERES",270,0.0962566844919786,32,3
208,"25 a 59","HOMBRES",904,0.32228163992869874,32,10
208,"25 a 59","MUJERES",951,0.3390374331550802,32,11
208,"60 y más","HOMBRES",181,0.06452762923351159,32,2
208,"60 y más","MUJERES",225,0.08021390374331551,32,3
240,"18 a 24","HOMBRES",134,0.06939409632314862,31,2
240,"18 a 24","MUJERES",166,0.0859658208182289,31,3
240,"25 a 59","HOMBRES",595,0.30813050233039874,31,10
240,"25 a 59","MUJERES",697,0.3609528741584671,31,11
240,"60 y más","HOMBRES",147,0.07612635939927499,31,2
240,"60 y más","MUJERES",192,0.0994303469704816,31,3
249,"18 a 24","HOMBRES",222,0.07571623465211459,31,2
249,"18 a 24","MUJERES",261,0.08901773533424284,31,3
249,"25 a 59","HOMBRES",918,0.3130968622100955,31,10
249,"25 a 59","MUJERES",1112,0.3792633015006821,31,12
249,"60 y más","HOMBRES",204,0.06957708049113233,31,2
249,"60 y más","MUJERES",215,0.0733287858117326,31,2
254,"18 a 24","HOMBRES",68,0.05052005943536404,31,2
254,"18 a 24","MUJERES",91,0.0676077265973254,31,2
254,"25 a 59","HOMBRES",385,0.28603268945022287,31,9
254,"25 a 59","MUJERES",467,0.34695393759286774,31,11
254,"60 y más","HOMBRES",147,0.10921248142644874,31,3
254,"60 y más","MUJERES",188,0.13967310549777118,31,4
267,"18 a 24","HOMBRES",157,0.10070558050032072,31,3
267,"18 a 24","MUJERES",142,0.09108402822322,31,3
267,"25 a 59","HOMBRES",511,0.3277742142398974,31,10
267,"25 a 59","MUJERES",570,0.3656189865298268,31,11
267,"60 y más","HOMBRES",87,0.05580500320718409,31,2
267,"60 y más","MUJERES",92,0.05901218729955099,31,2
1920,"18 a 24","HOMBRES",165,0.10423246999368288,135,14
1920,"18 a 24","MUJERES",147,0.09286165508528112,135,13
1920,"25 a 59","HOMBRES",541,0.3417561591914087,135,46
1920,"25 a 59","MUJERES",471,0.29753632343651293,135,40
1920,"60 y más","HOMBRES",141,0.0890713834491472,135,12
1920,"60 y más","MUJERES",118,0.07454200884396715,135,10
607,"18 a 24","HOMBRES",135,0.06468615237182558,186,12
607,"18 a 24","MUJERES",157,0.07522759942501198,186,14
607,"25 a 59","HOMBRES",664,0.31816003833253476,186,59
607,"25 a 59","MUJERES",769,0.368471490177288,186,69
607,"60 y más","HOMBRES",182,0.08720651653090561,186,16
607,"60 y más","MUJERES",180,0.08624820316243412,186,16
639,"18 a 24","HOMBRES",190,0.07612179487179487,44,3
639,"18 a 24","MUJERES",204,0.08173076923076923,44,4
639,"25 a 59","HOMBRES",754,0.3020833333333333,44,13
639,"25 a 59","MUJERES",885,0.3545673076923077,44,16
639,"60 y más","HOMBRES",214,0.08573717948717949,44,4
639,"60 y más","MUJERES",249,0.0997596153846154,44,4
640,"18 a 24","HOMBRES",86,0.05822613405551794,44,3
640,"18 a 24","MUJERES",101,0.06838185511171294,44,3
640,"25 a 59","HOMBRES",445,0.3012863913337847,44,13
640,"25 a 59","MUJERES",503,0.34055517941773866,44,15
640,"60 y más","HOMBRES",158,0.1069735951252539,44,5
640,"60 y más","MUJERES",184,0.12457684495599188,44,5
641,"18 a 24","HOMBRES",140,0.0665083135391924,44,3
641,"18 a 24","MUJERES",151,0.07173396674584323,44,3
641,"25 a 59","HOMBRES",678,0.32209026128266033,44,14
641,"25 a 59","MUJERES",744,0.3534441805225653,44,16
