"DISTRITO_F","MUNICIPIO","LOCALIDAD","SECCION","MANZANA","encuestas"
1,"PALENQUE","BENITO JUAREZ",944,2,5
1,"PALENQUE","BENITO JUAREZ",944,5,5
1,"PALENQUE","BENITO JUAREZ",944,10,5
1,"PALENQUE","BENITO JUAREZ",944,12,5
1,"PALENQUE","BENITO JUAREZ",944,14,5
1,"PALENQUE","BENITO JUAREZ",944,15,5
1,"PALENQUE","EJIDO SAN JOSE USUMACINTA",967,4,5
1,"PALENQUE","EJIDO SAN JOSE USUMACINTA",967,5,5
1,"PALENQUE","EJIDO SAN JOSE USUMACINTA",967,6,5
1,"PALENQUE","EJIDO SAN JOSE USUMACINTA",967,7,5
1,"PALENQUE","EJIDO SAN JOSE USUMACINTA",967,20,5
1,"PALENQUE","EJIDO SAN JOSE USUMACINTA",967,22,5
1,"PALENQUE","EL DESIERTO",965,5,5
1,"PALENQUE","EL DESIERTO",965,6,5
1,"PALENQUE","EL DESIERTO",965,13,5
1,"PALENQUE","EL DESIERTO",965,18,5
1,"PALENQUE","EL DESIERTO",965,19,5
1,"PALENQUE","EL DESIERTO",965,28,5
1,"PALENQUE","NUEVO YAJALON",968,1,5
1,"PALENQUE","NUEVO YAJALON",968,2,5
1,"PALENQUE","NUEVO YAJALON",968,5,5
1,"PALENQUE","NUEVO YAJALON",968,6,5
1,"PALENQUE","NUEVO YAJALON",968,7,5
1,"PALENQUE","NUEVO YAJALON",968,8,5
1,"PALENQUE","PALENQUE",945,2,5
1,"PALENQUE","PALENQUE",945,33,5
1,"PALENQUE","PALENQUE",945,144,5
1,"PALENQUE","PALENQUE",945,233,5
1,"PALENQUE","PALENQUE",945,266,5
1,"PALENQUE","PALENQUE",945,345,5
1,"PALENQUE","PALENQUE",946,38,5
1,"PALENQUE","PALENQUE",946,45,5
1,"PALENQUE","PALENQUE",946,67,5
1,"PALENQUE","PALENQUE",946,73,5
1,"PALENQUE","PALENQUE",946,76,5
1,"PALENQUE","PALENQUE",946,92,5
1,"PALENQUE","PALENQUE",947,22,5
1,"PALENQUE","PALENQUE",947,57,5
1,"PALENQUE","PALENQUE",947,261,5
1,"PALENQUE","PALENQUE",947,262,5
1,"PALENQUE","PALENQUE",947,282,5
1,"PALENQUE","PALENQUE",947,285,5
1,"PALENQUE","ROBERTO BARRIOS",963,13,5
1,"PALENQUE","ROBERTO BARRIOS",963,25,5
1,"PALENQUE","ROBERTO BARRIOS",963,41,5
1,"PALENQUE","ROBERTO BARRIOS",963,58,5
1,"PALENQUE","ROBERTO BARRIOS",963,59,5
1,"PALENQUE","ROBERTO BARRIOS",963,74,5
1,"PALENQUE","SAMUEL LEON BRINDIS",962,9,5
1,"PALENQUE","SAMUEL LEON BRINDIS",962,39,5
1,"PALENQUE","SAMUEL LEON BRINDIS",962,44,5
1,"PALENQUE","SAMUEL LEON BRINDIS",962,46,5
1,"PALENQUE","SAMUEL LEON BRINDIS",962,56,5
1,"PALENQUE","SAMUEL LEON BRINDIS",962,69,5
1,"SALTO DE AGUA","ACTIEPA YOCHIB",1098,3,5
1,"SALTO DE AGUA","ACTIEPA YOCHIB",1098,5,5
1,"SALTO DE AGUA","ACTIEPA YOCHIB",1098,9,5
1,"SALTO DE AGUA","ACTIEPA YOCHIB",1098,10,5
1,"SALTO DE AGUA","ACTIEPA YOCHIB",1098,12,5
1,"SALTO DE AGUA","ACTIEPA YOCHIB",1098,14,5
1,"SALTO DE AGUA","AGUA BLANCA",1098,3,5
1,"SALTO DE AGUA","AGUA BLANCA",1098,6,5
1,"SALTO DE AGUA","AGUA BLANCA",1098,10,5
1,"SALTO DE AGUA","AGUA BLANCA",1098,13,5
1,"SALTO DE AGUA","AGUA BLANCA",1098,16,5
1,"SALTO DE AGUA","AGUA BLANCA",1098,20,5
1,"SALTO DE AGUA","BELIZARIO DOMINGUEZ",1106,7,5
1,"SALTO DE AGUA","BELIZARIO DOMINGUEZ",1106,10,5
1,"SALTO DE AGUA","BELIZARIO DOMINGUEZ",1106,11,5
1,"SALTO DE AGUA","BELIZARIO DOMINGUEZ",1106,25,5
1,"SALTO DE AGUA","BELIZARIO DOMINGUEZ",1106,27,5
1,"SALTO DE AGUA","BELIZARIO DOMINGUEZ",1106,32,5
1,"SALTO DE AGUA","EJIDO EL BASCAN",1104,1,5
1,"SALTO DE AGUA","EJIDO EL BASCAN",1104,3,5
1,"SALTO DE AGUA","EJIDO EL BASCAN",1104,8,5
1,"SALTO DE AGUA","EJIDO EL BASCAN",1104,15,5
1,"SALTO DE AGUA","EJIDO EL BASCAN",1104,16,5
1,"SALTO DE AGUA","EJIDO EL BASCAN",1104,18,5
