"DISTRITO_F","MUNICIPIO","LOCALIDAD","SECCION","MANZANA","encuestas"
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,1,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,2,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,3,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,4,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,5,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,6,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,7,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,8,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,9,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,10,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,11,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,12,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,14,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,15,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,16,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,20,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,21,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,23,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,24,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,25,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,26,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,27,5
1,"PALENQUE","EJIDO NUEVA ESPERANZA 2A SECCION",954,28,5
1,"PALENQUE","PALENQUE",946,1,5
1,"PALENQUE","PALENQUE",946,19,5
1,"PALENQUE","PALENQUE",946,46,5
1,"PALENQUE","PALENQUE",946,71,5
1,"PALENQUE","PALENQUE",946,73,5
1,"PALENQUE","PALENQUE",946,80,5
1,"PALENQUE","PALENQUE",946,96,5
1,"PALENQUE","PALENQUE",947,17,5
1,"PALENQUE","PALENQUE",947,88,5
1,"PALENQUE","PALENQUE",947,106,5
1,"PALENQUE","PALENQUE",947,199,5
1,"PALENQUE","PALENQUE",947,228,5
1,"PALENQUE","PALENQUE",947,277,5
1,"PALENQUE","PALENQUE",947,296,5
1,"PALENQUE","PALENQUE",949,15,5
1,"PALENQUE","PALENQUE",949,18,5
1,"PALENQUE","PALENQUE",949,56,5
1,"PALENQUE","PALENQUE",949,216,5
1,"PALENQUE","PALENQUE",949,238,5
1,"PALENQUE","PALENQUE",949,339,5
1,"PALENQUE","PALENQUE",949,341,5
1,"PALENQUE","PALENQUE",950,20,5
1,"PALENQUE","PALENQUE",950,53,5
1,"PALENQUE","PALENQUE",950,76,5
1,"PALENQUE","PALENQUE",950,92,5
1,"PALENQUE","PALENQUE",950,139,5
