"estrato","NOMBRE"
"Costa","ACACOYAGUA"
"Poniente","ACALA"
"Costa","ACAPETAHUA"
"Comitán y Frontera","ALTAMIRANO"
"Altos","AMATAN"
"Costa","AMATENANGO DE LA FRONTERA"
"Comitán y Frontera","AMATENANGO DEL VALLE"
"Valle Central","ANGEL ALBINO CORZO"
"Costa","ARRIAGA"
"Costa","BEJUCAL DE OCAMPO"
"Costa","BELLA VISTA"
"Poniente","BERRIOZABAL"
"Altos","BOCHIL"
"Altos","EL BOSQUE"
"Costa","CACAHOATAN"
"Selva","CATAZAJA"
"Valle Central","CINTALAPA"
"Poniente","COAPILLA"
"Comitán y Frontera","COMITAN DE DOMINGUEZ"
"Valle Central","LA CONCORDIA"
"Poniente","COPAINALA"
"Altos","CHALCHIHUITAN"
"Altos","CHAMULA"
"Comitán y Frontera","CHANAL"
"Poniente","CHAPULTENANGO"
"Altos","CHENALHO"
"Poniente","CHIAPA DE CORZO"
"Poniente","CHIAPILLA"
"Poniente","CHICOASEN"
"Costa","CHICOMUSELO"
"Selva","CHILON"
"Costa","ESCUINTLA"
"Poniente","FRANCISCO LEON"
"Comitán y Frontera","FRONTERA COMALAPA"
"Costa","FRONTERA HIDALGO"
"Costa","LA GRANDEZA"
"Costa","HUEHUETAN"
"Altos","HUITIUPAN"
"Comitán y Frontera","HUIXTAN"
"Costa","HUIXTLA"
"Comitán y Frontera","LA INDEPENDENCIA"
"Altos","IXHUATAN"
"Poniente","IXTACOMITAN"
"Altos","IXTAPA"
"Poniente","IXTAPANGAJOYA"
"Valle Central","JIQUIPILAS"
"Altos","JITOTOL"
"Poniente","JUAREZ"
"Altos","LARRAINZAR"
"Selva","LA LIBERTAD"
"Costa","MAPASTEPEC"
"Comitán y Frontera","LAS MARGARITAS"
"Costa","MAZAPA DE MADERO"
"Costa","MAZATAN"
"Costa","METAPA"
"Altos","MITONTIC"
"Costa","MOTOZINTLA"
"Comitán y Frontera","NICOLAS RUIZ"
"Selva","OCOSINGO"
"Poniente","OCOTEPEC"
"Poniente","OCOZOCOAUTLA DE ESPINOSA"
"Poniente","OSTUACAN"
"Poniente","OSUMACINTA"
"Comitán y Frontera","OXCHUC"
"Selva","PALENQUE"
"Altos","PANTELHO"
"Poniente","PANTEPEC"
"Poniente","PICHUCALCO"
"Costa","PIJIJIAPAN"
"Costa","EL PORVENIR"
"Altos","PUEBLO NUEVO SOLISTAHUACAN"
"Poniente","RAYON"
"Poniente","REFORMA"
"Comitán y Frontera","LAS ROSAS"
"Selva","SABANILLA"
"Selva","SALTO DE AGUA"
"Altos","SAN CRISTOBAL DE LAS CASAS"
"Comitán y Frontera","SAN CRISTOBAL DE LAS CASAS"
"Poniente","SAN FERNANDO"
"Altos","SAN JUAN CANCUC"
"Altos","SAN LUCAS"
"Costa","SILTEPEC"
"Altos","SIMOJOVEL"
"Selva","SITALA"
"Comitán y Frontera","SOCOLTENANGO"
"Poniente","SOLOSUCHIAPA"
"Altos","SOYALO"
"Poniente","SUCHIAPA"
"Costa","SUCHIATE"
"Poniente","SUNUAPA"
"Costa","TAPACHULA"
"Poniente","TAPALAPA"
"Poniente","TAPILULA"
"Poniente","TECPATAN"
"Altos","TENEJAPA"
"Comitán y Frontera","TEOPISCA"
"Selva","TILA"
"Costa","TONALA"
"Poniente","TOTOLAPA"
"Comitán y Frontera","LA TRINITARIA"
"Selva","TUMBALA"
"Costa","TUXTLA CHICO"
"Poniente","TUXTLA GUTIERREZ"
"Valle Central","TUXTLA GUTIERREZ"
"Costa","TUZANTAN"
"Comitán y Frontera","TZIMOL"
"Costa","UNION JUAREZ"
"Comitán y Frontera","VENUSTIANO CARRANZA"
"Costa","VILLACOMALTITLAN"
"Valle Central","VILLA CORZO"
"Valle Central","VILLAFLORES"
"Selva","YAJALON"
"Altos","ZINACANTAN"
"Altos","ALDAMA"
"Selva","BENEMERITO DE LAS AMERICAS"
"Comitán y Frontera","MARAVILLA TENEJAPA"
"Selva","MARQUES DE COMILLAS"
"Valle Central","MONTECRISTO DE GUERRERO"
"Altos","SAN ANDRES DURAZNAL"
"Altos","SANTIAGO EL PINAR"
"Costa","CAPITAN LUIS ANGEL VIDAL"
"Altos","RINCON CHAMULA SAN PEDRO"
"Valle Central","EL PARRAL"
"Poniente","EMILIANO ZAPATA"
"Poniente","MEZCALAPA"
"Costa","HONDURAS DE LA SIERRA"
