zoe,melgar,carlos,brito,sasil,era,claudia,marcelo,monreal
,,,,,,MORENA,MORENA,
,,MORENA,,,,,,
,,MORENA,,,,,,
,,,,PVEM,,,MORENA,
,,,,,,,,
,,MORENA,,,,,,
,,,,,,,,MORENA
,,MORENA,,MORENA,MORENA,,,
,,,,,,,,
,,MORENA,,,,,,
,,MORENA,,,,,,
,,MORENA,,,,,,
,,,,,,,,
,,,,,,,,
PVEM,,,,,,MORENA,MORENA,
,,Ns/Nc,,,,,,
,,,MORENA,,PVEM,,,
,,,,,,,,
,,,,,,,,
PRI,,,,,PVEM,MORENA,MORENA,
MORENA,,MORENA,,,,,MORENA,MORENA
,,,,,,,,
,,,,,,,Ns/Nc,
,,PRI,,,PRI,,PAN,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,MORENA,
,,,,,PVEM,,PRI,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,,
Ns/Nc,,,,,PVEM,,,
,,,,,,,,
,,,,,PRI,MORENA,PRD,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PVEM,PVEM,MORENA,,PVEM,PVEM,PRD,MORENA,MORENA
MORENA,,MORENA,,,MORENA,MORENA,MORENA,MORENA
,,,,,,,,
,,PAN,,,PVEM,MORENA,,
,,,,,,,,
MORENA,PVEM,MORENA,,PRI,MORENA,MORENA,MORENA,MORENA
,,,,,,MORENA,Ns/Nc,Ns/Nc
,,,,,,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
PRI,,PRI,,PRI,PRI,PRD,PRD,PRI
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,PVEM,MORENA,,,MORENA,,,
,,MORENA,,,,,,
,,MORENA,,,,MORENA,,
,,,,,,,,
,,,,,,,,
PAN,PVEM,MORENA,,PVEM,PVEM,MORENA,MORENA,
MORENA,,MORENA,MORENA,PVEM,PRD,,PRI,PRI
,,Ns/Nc,,,,,Ns/Nc,
,,MORENA,,,,,,
PVEM,,MORENA,,PVEM,PRI,,Ns/Nc,
,,,,,,,,
,,Ns/Nc,,PAN,PRI,MORENA,PRI,
,,,,Ns/Nc,,,,
PRI,,,,PVEM,,,,
,,PT,,PANAL,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,MORENA,
MORENA,,MORENA,,,,,,
,,,,,,,,
,,MORENA,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,,
,,,,,,,,
PT,PVEM,MORENA,MORENA,,,MORENA,MORENA,MORENA
,,,,,,,MORENA,
,,,,,,,,
,,,,,,,PAN,
,,PRD,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PRI,,MORENA,,,PVEM,PAN,PAN,
,,,,,,,,
,,,,,,,,
,,PRD,,,,PRD,PRD,
,,PRD,PVEM,,,Ns/Nc,,
,,,,,,,,
,,,,,,,,
MORENA,,MORENA,,,,MORENA,MORENA,
,,,,,,,,
PVEM,,,,,,,,
PVEM,,MORENA,,PVEM,,,,
,,,,,,,MORENA,
,,,,Ns/Nc,,,,
,,MC,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,PRI,
PRI,,MORENA,,,,,MORENA,
MORENA,,,,,,MORENA,MORENA,
,,PRI,,,,MORENA,,
,,,,,,,,
Ns/Nc,,,,,,,,
,,,,,MORENA,MORENA,MORENA,
,,MORENA,,,PVEM,,PRD,
,,,,,,,,
,,,,,,,,PRD
,,,,,,,,
,,,,,,,,PRI
,,,,,,MORENA,,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,PRI,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,,
MORENA,,MORENA,,,,,MORENA,MORENA
,,,,,,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
PRD,PVEM,PRD,PRI,PRI,PVEM,MORENA,PRD,PRI
,,MORENA,,,,,,
PAN,,MORENA,,PRD,,,,
,,,,,,,,
,,MORENA,,,,MORENA,Ns/Nc,
,,MORENA,,,,,,
,,MORENA,,,,MORENA,PRI,
MORENA,,MORENA,,,,,,
,,,,,,MORENA,,
,,MORENA,,,MORENA,MORENA,MORENA,MORENA
MORENA,,MORENA,MORENA,PES,PVEM,MORENA,MORENA,MORENA
MORENA,MORENA,MORENA,MORENA,,MORENA,MORENA,MORENA,MORENA
,,PVEM,,,,PRD,MORENA,
MORENA,,MORENA,,,PVEM,MORENA,MORENA,
PVEM,PRI,MORENA,,PVEM,PVEM,MORENA,PRD,PRI
MORENA,PVEM,PRD,PVEM,PVEM,PVEM,MORENA,MORENA,MORENA
MORENA,PVEM,MORENA,MORENA,PVEM,MORENA,MORENA,MORENA,MORENA
,,,,,,MORENA,,
,,,,,,,,
MORENA,PRI,MORENA,,PVEM,PVEM,MORENA,MORENA,
,,,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,MORENA,MORENA,MORENA
,,PRI,,,PRI,,PRI,
,,,,,,MORENA,MORENA,
MORENA,,,,PVEM,MORENA,MORENA,,
,,,,,,,,
,,Ns/Nc,,,,,,
,,,,,,,,
PVEM,,,,,,MORENA,,
,,,,,,,,
,,MORENA,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,MORENA,
,,,,,,,MORENA,
,,,,,,,,
,,PRI,,,,,,
MORENA,,PRD,Ns/Nc,PVEM,PVEM,,,PRI
,,PT,,PVEM,PVEM,,PRD,
PRI,,PRD,,MORENA,PVEM,MORENA,MORENA,
,,PRD,,,,MORENA,MORENA,
MORENA,PVEM,MORENA,,PVEM,PVEM,MORENA,MORENA,MORENA
,,MORENA,,,MORENA,MORENA,MORENA,
,,,,,PRI,,,
,,MORENA,,,PVEM,,,
,,MORENA,,,,,,
,,MORENA,,PVEM,PRD,,,
,,Ns/Nc,,,Ns/Nc,Ns/Nc,Ns/Nc,
MORENA,,MORENA,,PES,PVEM,,,
,,,,,,,,
,,,,,,,,
,,PT,,,,,,
,,MORENA,PAN,,MORENA,MORENA,MORENA,MORENA
,,MORENA,,,,,,
MORENA,,MORENA,,MORENA,MORENA,MORENA,,
PAN,,,,PT,,Ns/Nc,Ns/Nc,
,,MORENA,,,,MORENA,,
,,,,,,,,
