"SECCION","DISTRITO_F","estrato"
7,6,6
8,6,6
9,6,6
10,6,6
11,6,6
12,6,6
13,6,6
198,10,1
199,10,1
203,10,1
204,10,1
206,10,1
207,10,1
208,10,1
240,8,3
247,8,3
249,8,3
254,8,3
260,8,3
267,8,3
399,2,5
562,2,5
607,11,3
610,11,3
638,10,1
639,10,1
640,10,1
641,10,1
642,10,1
773,13,2
774,13,2
778,13,2
815,3,4
816,3,4
818,3,4
819,3,4
820,3,4
946,1,4
947,1,4
949,1,4
950,1,4
952,1,4
954,1,4
1053,4,6
1054,4,6
1055,4,6
1058,4,6
1060,4,6
1061,4,6
1062,4,6
1103,1,4
1118,5,5
1126,5,5
1132,5,5
1135,5,5
1294,12,2
1313,12,2
1316,12,2
1326,12,2
1327,12,2
1329,12,2
1338,12,2
1385,12,2
1414,4,6
1544,8,3
1615,9,1
1632,9,1
1639,6,6
1641,6,6
1647,9,1
1692,9,1
1701,6,6
1707,9,1
1730,6,6
1731,6,6
1733,6,6
1749,6,6
1832,10,1
1833,10,1
1834,10,1
1835,10,1
1929,5,5
1977,12,2
1995,12,2
2028,9,1
2030,9,1
